用户ID,用户所在地,年龄,性别,权益
CUST_535300,周口市,38,男,会员
CUST_903092,晋中市,23,男,会员
CUST_859247,韶关市,41,男,会员
CUST_189389,黔南布依族苗族自治州,40,女,普通
CUST_553826,鸡西市,29,女,普通
CUST_197972,三亚市,31,女,普通
CUST_633317,西双版纳傣族自治州,44,男,普通
CUST_842792,娄底市,51,男,普通
CUST_515194,阜阳市,46,男,会员
CUST_590939,承德市,43,男,普通
CUST_931883,东城区,48,男,普通
CUST_350241,未知,59,男,会员
CUST_220773,呼和浩特市,43,女,会员
CUST_925605,黄大仙区,52,女,普通
CUST_519137,河东区,53,女,会员
CUST_841012,宜昌市,28,男,会员
CUST_417674,安康市,29,男,会员
CUST_937574,花地玛堂区,32,女,会员
CUST_181203,佳木斯市,50,男,会员
CUST_742385,荣昌区,55,男,普通
CUST_847710,北海市,41,女,普通
CUST_568736,太原市,46,男,会员
CUST_761677,临汾市,35,女,普通
CUST_399342,广安市,49,男,普通
CUST_936885,朝阳区,41,女,普通
CUST_879355,延边朝鲜族自治州,52,女,普通
CUST_285120,佳木斯市,53,男,会员
CUST_759282,商丘市,52,男,会员
CUST_853217,荆州市,32,男,普通
CUST_174478,顺义区,34,男,普通
CUST_915930,抚顺市,37,女,普通
CUST_228947,昌江黎族自治县,41,男,会员
CUST_422602,揭阳市,26,男,普通
CUST_130754,南昌市,51,男,会员
CUST_727591,葫芦岛市,31,女,会员
CUST_366459,油尖旺区,53,女,会员
CUST_862021,七台河市,38,男,会员
CUST_974680,崇左市,36,男,会员
CUST_817018,保山市,28,,会员
CUST_864747,临汾市,37,男,普通
CUST_677895,南岸区,29,女,会员
CUST_293305,定西市,7,女,会员
CUST_727084,延安市,44,女,普通
CUST_605318,抚州市,32,女,会员
CUST_364804,安康市,26,女,会员
CUST_606704,三门峡市,36,女,普通
CUST_728357,望德堂区,39,女,会员
CUST_327601,陇南市,29,女,会员
CUST_923407,张家界市,32,男,会员
CUST_543807,静安区,39,女,普通
CUST_417724,泰州市,40,女,普通
CUST_694816,宝鸡市,41,女,普通
CUST_993598,玉溪市,31,男,会员
CUST_793525,吉林市,43,女,会员
CUST_112428,濮阳市,49,女,会员
CUST_598761,福州市,44,女,会员
CUST_919336,未知,31,,会员
CUST_689598,开封市,44,男,会员
CUST_568668,泰州市,39,女,普通
CUST_830563,佛山市,36,男,会员
CUST_561848,武清区,46,女,会员
CUST_624446,驻马店市,36,男,普通
CUST_289236,郑州市,35,女,会员
CUST_320392,焦作市,47,男,普通
CUST_286046,和田市,41,男,普通
CUST_808148,巴中市,46,女,普通
CUST_640681,福州市,32,女,会员
CUST_229249,黄冈市,44,男,会员
CUST_637728,基隆市,54,男,普通
CUST_283095,琼海市,30,男,会员
CUST_694568,唐山市,44,男,会员
CUST_130169,未知,43,男,普通
CUST_671741,六安市,30,女,普通
CUST_539484,铜陵市,37,女,普通
CUST_117433,濮阳市,36,女,会员
CUST_750493,红河哈尼族彝族自治州,31,男,会员
CUST_385269,鄂州市,46,男,会员
CUST_578659,丰台区,58,男,普通
CUST_872706,黔西南布依族苗族自治州,41,女,普通
CUST_939372,商丘市,46,女,会员
CUST_717925,普洱市,23,,会员
CUST_748583,合肥市,51,女,会员
CUST_969653,资阳市,35,女,普通
CUST_615399,北区,58,男,普通
CUST_820402,郑州市,26,男,会员
CUST_508328,西宁市,27,男,会员
CUST_788156,潮州市,49,男,普通
CUST_495063,葵青区,60,女,会员
CUST_245012,新竹市,38,女,普通
CUST_885580,池州市,29,女,普通
CUST_841667,鄂尔多斯市,23,女,会员
CUST_456285,漳州市,25,女,会员
CUST_168163,镇江市,32,男,会员
CUST_992822,离岛区,47,女,普通
CUST_547308,保亭黎族苗族自治县,25,男,会员
CUST_480678,宿迁市,133,女,会员
CUST_550564,朔州市,36,女,普通
CUST_967211,西贡区,29,女,普通
CUST_891542,未知,52,女,会员
CUST_771236,贺州市,7,女,普通
CUST_334845,普洱市,27,女,普通
CUST_381287,内江市,45,男,普通
CUST_742124,洛阳市,51,男,普通
CUST_811864,未知,52,男,会员
CUST_197392,璧山区,51,女,会员
CUST_498833,衢州市,37,女,普通
CUST_226272,濮阳市,26,男,会员
CUST_788722,上饶市,43,男,普通
CUST_102532,孝感市,48,男,普通
CUST_402051,随州市,24,男,会员
CUST_308253,怒江傈僳族自治州,28,女,会员
CUST_395326,南通市,35,女,普通
CUST_481005,资阳市,28,男,普通
CUST_397488,西宁市,65,男,会员
CUST_907995,巴音郭楞蒙古自治州,43,男,会员
CUST_515024,杭州市,35,男,普通
CUST_808669,常德市,37,男,普通
CUST_265148,阿克苏市,39,女,普通
CUST_546168,西宁市,51,女,会员
CUST_748882,宿迁市,47,女,普通
CUST_734100,未知,36,男,普通
CUST_254423,盐城市,38,男,普通
CUST_964163,遂宁市,51,女,普通
CUST_287692,嘉峪关市,19,女,普通
CUST_597384,南开区,53,男,会员
CUST_740104,门头沟区,53,女,普通
CUST_558715,南宁市,26,男,普通
CUST_754157,未知,37,女,会员
CUST_585328,克拉玛依市,53,男,普通
CUST_665935,江津区,43,男,会员
CUST_937010,大渡口区,36,女,会员
CUST_572301,池州市,36,男,会员
CUST_683336,荆州市,35,女,普通
CUST_603200,湾仔区,24,女,普通
CUST_338595,遂宁市,38,女,会员
CUST_930299,宝坻区,36,女,会员
CUST_987374,苏州市,36,男,普通
CUST_343594,甘南藏族自治州,41,女,会员
CUST_945548,荃湾区,49,女,会员
CUST_511553,阜阳市,42,女,会员
CUST_823184,河西区,35,男,会员
CUST_967498,湘西土家族苗族自治州,40,女,普通
CUST_902594,石嘴山市,43,男,普通
CUST_204078,延庆区,33,女,会员
CUST_187863,昌江黎族自治县,32,男,普通
CUST_789144,甘孜藏族自治州,36,男,普通
CUST_160309,清远市,40,女,普通
CUST_506445,邯郸市,44,男,会员
CUST_315245,锡林郭勒盟,33,女,普通
CUST_813901,宣城市,30,女,普通
CUST_319065,辽阳市,51,女,会员
CUST_473166,威海市,45,,普通
CUST_429611,阳江市,37,女,会员
CUST_896454,梧州市,31,女,会员
CUST_354036,葵青区,35,男,会员
CUST_552681,西青区,44,男,会员
CUST_723235,巴彦淖尔市,35,女,普通
CUST_310302,宁德市,30,男,普通
CUST_304731,黄大仙区,28,女,会员
CUST_851751,广安市,7,男,会员
CUST_581925,南岸区,21,男,普通
CUST_735406,大兴安岭地区,43,男,普通
CUST_773169,随州市,42,女,普通
CUST_234722,雅安市,71,女,普通
CUST_526745,张家界市,45,女,普通
CUST_192578,崇明区,37,女,普通
CUST_356183,中西区,43,女,会员
CUST_863958,河东区,36,男,会员
CUST_180818,路凼填海区,51,男,普通
CUST_394087,漳州市,23,女,普通
CUST_658258,西双版纳傣族自治州,40,女,普通
CUST_833974,包头市,54,男,普通
CUST_910359,阿拉善盟,46,女,普通
CUST_998879,汕头市,22,女,会员
CUST_239289,呼和浩特市,37,女,会员
CUST_709919,钦州市,43,女,普通
CUST_168797,温州市,38,男,普通
CUST_139831,黄石市,19,男,普通
CUST_427980,湘潭市,51,男,普通
CUST_466656,银川市,34,男,会员
CUST_252901,通辽市,39,男,普通
CUST_332780,怀柔区,34,女,会员
CUST_659090,北辰区,38,女,普通
CUST_452209,聊城市,7,男,会员
CUST_981918,广州市,31,男,普通
CUST_680012,崇明区,38,男,会员
CUST_131980,梧州市,45,女,普通
CUST_274351,许昌市,42,女,普通
CUST_401429,锦州市,25,男,会员
CUST_344645,陵水黎族自治县,45,男,普通
CUST_863321,太原市,36,女,会员
CUST_286390,红桥区,31,女,会员
CUST_583994,昌江黎族自治县,33,女,普通
CUST_644881,渝中区,40,男,会员
CUST_163260,元朗区,24,男,会员
CUST_332834,红河哈尼族彝族自治州,40,男,普通
CUST_475526,铜川市,27,女,会员
CUST_991348,三亚市,55,女,会员
CUST_712294,湖州市,62,女,会员
CUST_916352,大理白族自治州,52,男,普通
CUST_625914,东城区,58,男,普通
CUST_561676,高雄市,26,女,普通
CUST_642374,安阳市,30,女,会员
CUST_337330,伊犁哈萨克自治州,46,男,普通
CUST_740096,海南藏族自治州,50,女,会员
CUST_181937,台北市,37,女,会员
CUST_931143,深圳市,51,男,会员
CUST_785484,深圳市,61,女,会员
CUST_914737,朝阳市,36,女,普通
CUST_979809,黄大仙区,133,女,普通
CUST_800058,台南市,40,男,普通
CUST_221998,南岸区,57,女,普通
CUST_673258,宁河区,47,男,会员
CUST_393912,芜湖市,35,女,会员
CUST_507176,基隆市,32,女,会员
CUST_811329,海淀区,41,女,会员
CUST_904489,台北市,42,男,会员
CUST_788404,杨浦区,48,男,会员
CUST_636929,黑河市,37,女,会员
CUST_622426,望德堂区,45,女,会员
CUST_316908,营口市,45,女,会员
CUST_481308,基隆市,42,女,会员
CUST_506801,静安区,29,男,会员
CUST_373663,油尖旺区,39,女,会员
CUST_393966,延庆区,35,男,会员
CUST_696054,吉林市,49,女,普通
CUST_899853,观塘区,24,男,会员
CUST_644521,北区,49,女,普通
CUST_284203,承德市,36,男,普通
CUST_431575,巴音郭楞蒙古自治州,51,女,普通
CUST_274520,西安市,7,男,会员
CUST_346346,阿勒泰地区,7,男,会员
CUST_940958,新竹市,28,男,普通
CUST_521112,铜仁市,33,女,会员
CUST_151203,荆门市,44,女,普通
CUST_513710,泰州市,43,男,普通
CUST_629232,苏州市,7,女,会员
CUST_686766,阿坝藏族羌族自治州,53,女,普通
CUST_420107,巴音郭楞蒙古自治州,39,男,普通
CUST_174784,离岛区,46,男,普通
CUST_131238,兴安盟,59,男,会员
CUST_748323,永川区,20,女,会员
CUST_188612,黔江区,34,男,会员
CUST_753766,鹤岗市,45,女,普通
CUST_695838,澄迈县,28,女,会员
CUST_620805,池州市,42,男,会员
CUST_277785,乌兰察布市,44,女,普通
CUST_908914,贺州市,32,男,普通
CUST_226099,和平区,38,男,普通
CUST_837362,铜川市,42,男,会员
CUST_552573,萍乡市,48,男,普通
CUST_861166,拉萨市,30,男,普通
CUST_305091,泸州市,38,男,普通
CUST_749001,未知,27,男,会员
CUST_645180,商洛市,23,男,普通
CUST_854478,荆门市,39,男,会员
CUST_577057,塔城地区,57,男,普通
CUST_116689,吐鲁番市,40,女,会员
CUST_498211,路凼填海区,58,女,普通
CUST_458653,上饶市,33,女,普通
CUST_882848,渝中区,45,女,普通
CUST_931527,璧山区,41,男,会员
CUST_391975,惠州市,44,男,会员
CUST_955039,徐汇区,42,女,会员
CUST_790637,巴南区,32,女,会员
CUST_387370,东区,20,男,会员
CUST_630574,定安县,61,男,会员
CUST_898718,大渡口区,51,男,会员
CUST_819108,新乡市,46,女,会员
CUST_149258,铁岭市,32,男,会员
CUST_568220,南平市,36,女,普通
CUST_499695,武清区,28,男,普通
CUST_267504,佳木斯市,35,女,会员
CUST_779220,商洛市,34,男,会员
CUST_801405,和田市,41,女,普通
CUST_275224,兰州市,32,男,普通
CUST_174160,南阳市,51,男,普通
CUST_894562,花地玛堂区,44,女,会员
CUST_907873,咸宁市,46,女,会员
CUST_806743,江津区,62,,会员
CUST_409945,攀枝花市,42,女,会员
CUST_559495,西城区,133,男,普通
CUST_701939,大堂区,38,男,会员
CUST_665195,日喀则市,32,女,会员
CUST_164380,静海区,23,男,普通
CUST_205838,黔南布依族苗族自治州,32,女,普通
CUST_263109,长春市,37,男,普通
CUST_565913,葵青区,32,男,普通
CUST_385055,未知,33,女,普通
CUST_135665,青岛市,53,男,普通
CUST_934030,惠州市,49,男,会员
CUST_580907,唐山市,38,男,会员
CUST_687055,南京市,46,女,会员
CUST_118401,新北市,40,女,普通
CUST_347616,文山壮族苗族自治州,38,男,会员
CUST_189755,河西区,32,女,会员
CUST_208455,抚州市,41,男,普通
CUST_520596,黑河市,43,男,会员
CUST_429666,吴忠市,48,男,会员
CUST_513608,乐山市,46,男,普通
CUST_673951,苏州市,47,女,会员
CUST_673008,蓟州区,41,男,会员
CUST_591436,阜新市,51,女,普通
CUST_407207,大足区,50,男,普通
CUST_305379,辽阳市,32,女,普通
CUST_933120,渝中区,52,男,普通
CUST_740242,新余市,33,男,普通
CUST_250884,三亚市,54,男,会员
CUST_116889,大同市,46,女,会员
CUST_220997,新余市,36,女,普通
CUST_274512,宿迁市,25,男,普通
CUST_901716,怒江傈僳族自治州,58,男,会员
CUST_825558,温州市,54,男,普通
CUST_380192,崇明区,27,女,会员
CUST_145259,阳江市,33,女,会员
CUST_243320,未知,30,男,会员
CUST_805341,珠海市,48,男,普通
CUST_287370,门头沟区,39,男,会员
CUST_327653,池州市,33,男,会员
CUST_932566,伊春市,36,男,普通
CUST_833640,嘉定区,23,男,普通
CUST_700233,临夏回族自治州,56,女,会员
CUST_560269,日喀则市,43,女,普通
CUST_836748,青岛市,39,男,普通
CUST_753087,南通市,48,男,普通
CUST_244389,滨海新区,35,男,会员
CUST_630183,邵阳市,43,女,会员
CUST_388600,江津区,39,女,普通
CUST_466779,荃湾区,59,女,普通
CUST_271455,万州区,60,男,会员
CUST_434713,临沧市,52,男,会员
CUST_925761,邵阳市,36,女,会员
CUST_123509,许昌市,31,男,会员
CUST_167321,三沙市,40,男,会员
CUST_147239,遵义市,49,女,会员
CUST_482774,舟山市,27,女,普通
CUST_802884,攀枝花市,49,男,会员
CUST_121458,东莞市,46,女,普通
CUST_967291,密云区,32,男,会员
CUST_701948,湘潭市,41,女,会员
CUST_819135,桃园市,36,男,普通
CUST_549860,佛山市,48,男,普通
CUST_868793,望德堂区,40,女,普通
CUST_984185,淮南市,65,女,普通
CUST_121782,白城市,42,女,普通
CUST_646582,江北区,46,女,会员
CUST_495555,阿拉善盟,40,男,普通
CUST_501282,南平市,28,女,普通
CUST_144279,百色市,25,男,会员
CUST_984172,大连市,32,女,普通
CUST_387460,嘉峪关市,49,女,会员
CUST_239193,毕节市,50,女,会员
CUST_532298,黄浦区,30,女,普通
CUST_972165,三亚市,39,男,会员
CUST_849302,阿拉善盟,43,男,会员
CUST_832097,黄浦区,52,男,普通
CUST_665858,离岛区,34,男,普通
CUST_157569,牡丹江市,35,男,会员
CUST_841868,宜宾市,47,女,会员
CUST_399946,门头沟区,42,男,普通
CUST_293862,宜春市,42,男,会员
CUST_574612,锡林郭勒盟,55,女,普通
CUST_338403,海西蒙古族藏族自治州,37,男,普通
CUST_570096,黄大仙区,22,男,普通
CUST_619369,蚌埠市,50,男,会员
CUST_621789,雅安市,34,男,会员
CUST_965019,洛阳市,41,女,会员
CUST_929385,常德市,37,男,会员
CUST_595334,宿迁市,32,女,普通
CUST_861143,河源市,47,女,会员
CUST_273006,徐汇区,39,男,会员
CUST_504591,昌都市,30,女,普通
CUST_603140,宜昌市,49,女,普通
CUST_406203,崇左市,37,女,普通
CUST_515295,金华市,34,男,会员
CUST_125738,岳阳市,44,女,普通
CUST_831770,珠海市,133,女,会员
CUST_966906,滨海新区,56,女,会员
CUST_789329,南通市,47,男,会员
CUST_150878,延庆区,64,女,普通
CUST_278200,商洛市,41,女,普通
CUST_766859,松江区,47,女,会员
CUST_687144,恩施土家族苗族自治州,44,女,会员
CUST_845857,济宁市,29,男,会员
CUST_619768,襄阳市,37,女,普通
CUST_970794,呼和浩特市,46,女,会员
CUST_536929,辽阳市,42,男,普通
CUST_980807,顺义区,61,女,普通
CUST_530636,荆州市,41,女,普通
CUST_963404,七台河市,50,男,普通
CUST_959715,北海市,31,男,普通
CUST_915225,江津区,31,男,会员
CUST_941653,怀柔区,25,男,会员
CUST_445874,金昌市,39,女,会员
CUST_282907,未知,57,女,会员
CUST_769922,河西区,49,男,普通
CUST_194586,山南市,28,女,普通
CUST_291952,齐齐哈尔市,38,女,会员
CUST_732641,顺义区,35,男,普通
CUST_364157,温州市,31,女,普通
CUST_117346,江津区,28,女,普通
CUST_414150,渝中区,44,女,会员
CUST_126089,通州区,40,男,会员
CUST_995132,北海市,36,女,会员
CUST_289818,东区,36,男,普通
CUST_923452,云浮市,30,女,普通
CUST_151842,黄南藏族自治州,45,女,会员
CUST_530476,九江市,35,女,会员
CUST_596032,邵阳市,38,男,普通
CUST_553077,抚顺市,32,女,会员
CUST_799648,濮阳市,41,男,会员
CUST_156896,长寿区,7,男,普通
CUST_841714,上饶市,46,男,普通
CUST_719023,阿拉善盟,33,男,普通
CUST_305160,河西区,31,男,普通
CUST_201467,潮州市,19,男,会员
CUST_760579,大连市,26,男,普通
CUST_515028,惠州市,30,男,普通
CUST_815896,信阳市,33,女,普通
CUST_443816,鄂尔多斯市,42,女,普通
CUST_915350,未知,31,女,会员
CUST_600189,张家界市,39,男,会员
CUST_234277,花地玛堂区,42,女,会员
CUST_782246,晋城市,7,男,普通
CUST_193790,伊犁哈萨克自治州,56,男,普通
CUST_719958,凉山彝族自治州,50,女,会员
CUST_843446,汕尾市,24,女,会员
CUST_356005,永州市,44,男,会员
CUST_953103,四平市,36,男,普通
CUST_957580,巴中市,25,男,普通
CUST_938889,湾仔区,50,男,普通
CUST_817356,未知,32,男,普通
CUST_963440,昌吉回族自治州,45,男,普通
CUST_955517,璧山区,28,男,会员
CUST_532245,鹤岗市,42,女,普通
CUST_258067,恩施土家族苗族自治州,25,女,普通
CUST_169879,温州市,38,男,会员
CUST_431510,台北市,30,男,普通
CUST_776361,离岛区,53,女,普通
CUST_660560,安顺市,42,女,会员
CUST_794433,达州市,43,男,普通
CUST_371445,衡水市,42,女,会员
CUST_658053,乌海市,55,女,会员
CUST_647340,黑河市,32,女,普通
CUST_572075,湘西土家族苗族自治州,39,女,会员
CUST_790545,万州区,54,女,会员
CUST_730798,德阳市,31,女,会员
CUST_804692,榆林市,23,女,普通
CUST_989954,南宁市,27,男,普通
CUST_100424,平顶山市,27,男,普通
CUST_251708,鞍山市,33,女,会员
CUST_844104,武汉市,40,女,普通
CUST_388639,花地玛堂区,50,女,会员
CUST_209089,迪庆藏族自治州,42,女,会员
CUST_980141,静海区,43,女,普通
CUST_694978,广安市,32,男,会员
CUST_518347,东丽区,34,女,普通
CUST_395675,太原市,38,男,会员
CUST_173983,南平市,21,男,普通
CUST_200899,黄大仙区,33,男,会员
CUST_875963,焦作市,52,男,会员
CUST_423247,张家界市,29,女,普通
CUST_460511,邢台市,28,女,会员
CUST_230803,莱芜市,31,男,普通
CUST_916012,辽阳市,28,女,会员
CUST_185558,濮阳市,25,女,会员
CUST_464245,张家界市,48,女,会员
CUST_870383,绵阳市,46,女,普通
CUST_468785,未知,52,男,普通
CUST_625754,辽源市,59,女,会员
CUST_530562,安庆市,37,女,会员
CUST_153381,未知,41,男,会员
CUST_322614,清远市,48,女,会员
CUST_669903,衡阳市,33,女,普通
CUST_541108,邯郸市,41,男,普通
CUST_181888,阳江市,42,女,普通
CUST_108329,商丘市,39,男,会员
CUST_712849,常德市,66,女,普通
CUST_489472,南充市,28,女,会员
CUST_723039,七台河市,31,男,会员
CUST_865985,德宏傣族景颇族自治州,46,男,普通
CUST_724337,长沙市,45,女,普通
CUST_305735,吐鲁番市,40,女,普通
CUST_743291,红桥区,51,女,会员
CUST_392817,武清区,32,女,普通
CUST_473344,菏泽市,32,女,会员
CUST_584611,普洱市,35,男,会员
CUST_432161,盘锦市,29,女,普通
CUST_518593,南区,45,女,会员
CUST_942182,聊城市,38,男,会员
CUST_216588,鞍山市,46,男,会员
CUST_534943,乐山市,27,女,会员
CUST_393356,德宏傣族景颇族自治州,39,女,会员
CUST_947685,呼伦贝尔市,30,男,会员
