省份,城市,经济权重
北京市,东城区,5.0
北京市,西城区,5.0
北京市,朝阳区,5.0
北京市,海淀区,5.0
北京市,丰台区,5.0
北京市,石景山区,5.0
北京市,通州区,5.0
北京市,顺义区,5.0
北京市,大兴区,5.0
北京市,昌平区,5.0
北京市,怀柔区,5.0
北京市,平谷区,5.0
北京市,门头沟区,5.0
北京市,密云区,5.0
北京市,延庆区,5.0
天津市,和平区,4.0
天津市,河东区,4.0
天津市,河西区,4.0
天津市,南开区,4.0
天津市,河北区,4.0
天津市,红桥区,4.0
天津市,,4.0
天津市,西青区,4.0
天津市,津南区,4.0
天津市,北辰区,4.0
天津市,武清区,4.0
天津市,宝坻区,4.0
天津市,滨海新区,4.0
天津市,宁河区,4.0
天津市,静海区,4.0
天津市,蓟州区,4.0
上海市,黄浦区,5.0
上海市,徐汇区,5.0
上海市,长宁区,5.0
上海市,静安区,5.0
上海市,普陀区,5.0
上海市,虹口区,5.0
上海市,杨浦区,5.0
上海市,闵行区,5.0
上海市,宝山区,5.0
上海市,嘉定区,5.0
上海市,浦东新区,5.0
上海市,金山区,5.0
上海市,松江区,5.0
上海市,青浦区,5.0
上海市,奉贤区,5.0
上海市,崇明区,5.0
重庆市,渝中区,3.0
重庆市,大渡口区,3.0
重庆市,江北区,3.0
重庆市,沙坪坝区,3.0
重庆市,九龙坡区,3.0
重庆市,南岸区,3.0
重庆市,北碚区,3.0
重庆市,渝北区,3.0
重庆市,巴南区,3.0
重庆市,长寿区,3.0
重庆市,璧山区,3.0
重庆市,大足区,3.0
重庆市,荣昌区,3.0
重庆市,铜梁区,3.0
重庆市,合川区,3.0
重庆市,永川区,3.0
重庆市,江津区,3.0
重庆市,綦江区,3.0
重庆市,潼南区,3.0
重庆市,万州区,3.0
重庆市,涪陵区,3.0
重庆市,黔江区,3.0
河北省,石家庄市,2.0
河北省,唐山市,2.0
河北省,秦皇岛市,2.0
河北省,邯郸市,2.0
河北省,邢台市,2.0
河北省,保定市,2.0
河北省,张家口市,2.0
河北省,承德市,2.0
河北省,沧州市,2.0
河北省,廊坊市,2.0
河北省,衡水市,2.0
山西省,太原市,1.5
山西省,大同市,1.5
山西省,阳泉市,1.5
山西省,长治市,1.5
山西省,晋城市,1.5
山西省,,1.5
山西省,晋中市,1.5
山西省,运城市,1.5
山西省,忻州市,1.5
山西省,临汾市,1.5
山西省,吕梁市,1.5
辽宁省,沈阳市,1.5
辽宁省,大连市,1.5
辽宁省,鞍山市,1.5
辽宁省,抚顺市,1.5
辽宁省,,1.5
辽宁省,丹东市,1.5
辽宁省,锦州市,1.5
辽宁省,营口市,1.5
辽宁省,阜新市,1.5
辽宁省,辽阳市,1.5
辽宁省,盘锦市,1.5
辽宁省,铁岭市,1.5
辽宁省,朝阳市,1.5
辽宁省,葫芦岛市,1.5
吉林省,长春市,1.5
吉林省,吉林市,1.5
吉林省,四平市,1.5
吉林省,辽源市,1.5
吉林省,通化市,1.5
吉林省,白山市,1.5
吉林省,松原市,1.5
吉林省,白城市,1.5
吉林省,延边朝鲜族自治州,1.5
黑龙江省,哈尔滨市,1.5
黑龙江省,齐齐哈尔市,1.5
黑龙江省,鸡西市,1.5
黑龙江省,鹤岗市,1.5
黑龙江省,双鸭山市,1.5
黑龙江省,大庆市,1.5
黑龙江省,伊春市,1.5
黑龙江省,,1.5
黑龙江省,七台河市,1.5
黑龙江省,牡丹江市,1.5
黑龙江省,黑河市,1.5
黑龙江省,绥化市,1.5
黑龙江省,大兴安岭地区,1.5
江苏省,南京市,4.5
江苏省,无锡市,4.5
江苏省,徐州市,4.5
江苏省,常州市,4.5
江苏省,苏州市,4.5
江苏省,南通市,4.5
江苏省,连云港市,4.5
江苏省,淮安市,4.5
江苏省,盐城市,4.5
江苏省,扬州市,4.5
江苏省,镇江市,4.5
江苏省,泰州市,4.5
江苏省,宿迁市,4.5
浙江省,杭州市,4.5
浙江省,宁波市,4.5
浙江省,温州市,4.5
浙江省,嘉兴市,4.5
浙江省,湖州市,4.5
浙江省,绍兴市,4.5
浙江省,金华市,4.5
浙江省,衢州市,4.5
浙江省,舟山市,4.5
浙江省,台州市,4.5
浙江省,丽水市,4.5
安徽省,合肥市,2.0
安徽省,芜湖市,2.0
安徽省,蚌埠市,2.0
安徽省,淮南市,2.0
安徽省,马鞍山市,2.0
安徽省,淮北市,2.0
安徽省,铜陵市,2.0
安徽省,安庆市,2.0
安徽省,黄山市,2.0
安徽省,,2.0
安徽省,阜阳市,2.0
安徽省,宿州市,2.0
安徽省,六安市,2.0
安徽省,亳州市,2.0
安徽省,池州市,2.0
安徽省,宣城市,2.0
福建省,福州市,4.0
福建省,厦门市,4.0
福建省,莆田市,4.0
福建省,三明市,4.0
福建省,泉州市,4.0
福建省,漳州市,4.0
福建省,南平市,4.0
福建省,龙岩市,4.0
福建省,宁德市,4.0
江西省,南昌市,2.0
江西省,景德镇市,2.0
江西省,萍乡市,2.0
江西省,九江市,2.0
江西省,新余市,2.0
江西省,,2.0
江西省,赣州市,2.0
江西省,,2.0
江西省,宜春市,2.0
江西省,抚州市,2.0
江西省,上饶市,2.0
山东省,济南市,4.0
山东省,青岛市,4.0
山东省,淄博市,4.0
山东省,枣庄市,4.0
山东省,东营市,4.0
山东省,,4.0
山东省,潍坊市,4.0
山东省,济宁市,4.0
山东省,泰安市,4.0
山东省,威海市,4.0
山东省,日照市,4.0
山东省,莱芜市,4.0
山东省,临沂市,4.0
山东省,德州市,4.0
山东省,聊城市,4.0
山东省,滨州市,4.0
山东省,菏泽市,4.0
河南省,郑州市,3.0
河南省,开封市,3.0
河南省,洛阳市,3.0
河南省,平顶山市,3.0
河南省,安阳市,3.0
河南省,鹤壁市,3.0
河南省,新乡市,3.0
河南省,焦作市,3.0
河南省,濮阳市,3.0
河南省,许昌市,3.0
河南省,漯河市,3.0
河南省,三门峡市,3.0
河南省,南阳市,3.0
河南省,商丘市,3.0
河南省,信阳市,3.0
河南省,周口市,3.0
河南省,驻马店市,3.0
河南省,济源市,3.0
湖北省,武汉市,3.0
湖北省,黄石市,3.0
湖北省,十堰市,3.0
湖北省,宜昌市,3.0
湖北省,襄阳市,3.0
湖北省,鄂州市,3.0
湖北省,,3.0
湖北省,孝感市,3.0
湖北省,荆州市,3.0
湖北省,黄冈市,3.0
湖北省,咸宁市,3.0
湖北省,随州市,3.0
湖北省,恩施土家族苗族自治州,3.0
湖南省,长沙市,3.0
湖南省,株洲市,3.0
湖南省,湘潭市,3.0
湖南省,衡阳市,3.0
湖南省,,3.0
湖南省,岳阳市,3.0
湖南省,常德市,3.0
湖南省,张家界市,3.0
湖南省,益阳市,3.0
湖南省,郴州市,3.0
湖南省,永州市,3.0
湖南省,怀化市,3.0
湖南省,,3.0
湖南省,湘西土家族苗族自治州,3.0
广东省,广州市,4.5
广东省,深圳市,4.5
广东省,珠海市,4.5
广东省,汕头市,4.5
广东省,韶关市,4.5
广东省,佛山市,4.5
广东省,江门市,4.5
广东省,湛江市,4.5
广东省,茂名市,4.5
广东省,肇庆市,4.5
广东省,惠州市,4.5
广东省,梅州市,4.5
广东省,汕尾市,4.5
广东省,河源市,4.5
广东省,阳江市,4.5
广东省,清远市,4.5
广东省,东莞市,4.5
广东省,中山市,4.5
广东省,潮州市,4.5
广东省,揭阳市,4.5
广东省,云浮市,4.5
海南省,海口市,4.0
海南省,三亚市,4.0
海南省,三沙市,4.0
海南省,儋州市,4.0
海南省,文昌市,4.0
海南省,琼海市,4.0
海南省,万宁市,4.0
海南省,,4.0
海南省,定安县,4.0
海南省,,4.0
海南省,澄迈县,4.0
海南省,临高县,4.0
海南省,白沙黎族自治县,4.0
海南省,昌江黎族自治县,4.0
海南省,乐东黎族自治县,4.0
海南省,陵水黎族自治县,4.0
海南省,保亭黎族苗族自治县,4.0
海南省,琼中黎族苗族自治县,4.0
四川省,成都市,3.0
四川省,自贡市,3.0
四川省,攀枝花市,3.0
四川省,泸州市,3.0
四川省,德阳市,3.0
四川省,绵阳市,3.0
四川省,广元市,3.0
四川省,,3.0
四川省,内江市,3.0
四川省,乐山市,3.0
四川省,南充市,3.0
四川省,眉山市,3.0
四川省,宜宾市,3.0
四川省,广安市,3.0
四川省,达州市,3.0
四川省,雅安市,3.0
四川省,巴中市,3.0
四川省,资阳市,3.0
四川省,,3.0
四川省,甘孜藏族自治州,3.0
四川省,凉山彝族自治州,3.0
贵州省,贵阳市,1.0
贵州省,六盘水市,1.0
贵州省,遵义市,1.0
贵州省,安顺市,1.0
贵州省,毕节市,1.0
贵州省,铜仁市,1.0
贵州省,黔西南布依族苗族自治州,1.0
贵州省,黔东南苗族侗族自治州,1.0
贵州省,黔南布依族苗族自治州,1.0
云南省,昆明市,1.0
云南省,曲靖市,1.0
云南省,玉溪市,1.0
云南省,保山市,1.0
云南省,昭通市,1.0
云南省,丽江市,1.0
云南省,普洱市,1.0
云南省,临沧市,1.0
云南省,楚雄彝族自治州,1.0
云南省,,1.0
云南省,文山壮族苗族自治州,1.0
云南省,西双版纳傣族自治州,1.0
云南省,大理白族自治州,1.0
云南省,德宏傣族景颇族自治州,1.0
云南省,怒江傈僳族自治州,1.0
云南省,迪庆藏族自治州,1.0
陕西省,西安市,2.0
陕西省,铜川市,2.0
陕西省,宝鸡市,2.0
陕西省,咸阳市,2.0
陕西省,渭南市,2.0
陕西省,延安市,2.0
陕西省,汉中市,2.0
陕西省,榆林市,2.0
陕西省,安康市,2.0
陕西省,商洛市,2.0
甘肃省,兰州市,1.0
甘肃省,,1.0
甘肃省,金昌市,1.0
甘肃省,白银市,1.0
甘肃省,天水市,1.0
甘肃省,武威市,1.0
甘肃省,张掖市,1.0
甘肃省,平凉市,1.0
甘肃省,酒泉市,1.0
甘肃省,庆阳市,1.0
甘肃省,定西市,1.0
甘肃省,陇南市,1.0
甘肃省,临夏回族自治州,1.0
甘肃省,甘南藏族自治州,1.0
青海省,西宁市,1.0
青海省,海东市,1.0
青海省,海北藏族自治州,1.0
青海省,黄南藏族自治州,1.0
青海省,海南藏族自治州,1.0
青海省,果洛藏族自治州,1.0
青海省,玉树藏族自治州,1.0
青海省,海西蒙古族藏族自治州,1.0
台湾省,台北市,1.0
台湾省,高雄市,1.0
台湾省,台中市,1.0
台湾省,台南市,1.0
台湾省,新北市,1.0
台湾省,桃园市,1.0
台湾省,新竹市,1.0
台湾省,基隆市,1.0
台湾省,嘉义市,1.0
内蒙古自治区,呼和浩特市,1.5
内蒙古自治区,包头市,1.5
内蒙古自治区,乌海市,1.5
内蒙古自治区,赤峰市,1.5
内蒙古自治区,通辽市,1.5
内蒙古自治区,鄂尔多斯市,1.5
内蒙古自治区,呼伦贝尔市,1.5
内蒙古自治区,巴彦淖尔市,1.5
内蒙古自治区,乌兰察布市,1.5
内蒙古自治区,兴安盟,1.5
内蒙古自治区,锡林郭勒盟,1.5
内蒙古自治区,阿拉善盟,1.5
广西壮族自治区,南宁市,1.5
广西壮族自治区,柳州市,1.5
广西壮族自治区,桂林市,1.5
广西壮族自治区,梧州市,1.5
广西壮族自治区,北海市,1.5
广西壮族自治区,防城港市,1.5
广西壮族自治区,钦州市,1.5
广西壮族自治区,贵港市,1.5
广西壮族自治区,玉林市,1.5
广西壮族自治区,百色市,1.5
广西壮族自治区,贺州市,1.5
