用户ID,总行为次数,浏览商品数,活跃天数,首次行为月份,最后行为月份,平均行为小时,加购_次数,收藏_次数,浏览_次数,购买_次数,购买次数,总消费金额,客单价,购买商品种类数,偏好商品类型,年龄,性别,权益,用户所在地,浏览到收藏转化率,收藏到加购转化率,加购到购买转化率,整体转化率,R_最近购买天数,R_最近购买天数_分,购买次数_分,总消费金额_分,RFM总分,用户分层,年龄段
CUST_100055,137,80,123,1,12,0.0,32,39,46,20,20.0,13857.02,692.851,19.0,运动器材,29,男,会员,景德镇市,0.8478260869565217,0.8205128205128205,0.625,0.43478260869565216,9.0,2,4,4,6,普通用户,20-30
CUST_100073,296,77,137,1,12,0.0,50,90,126,30,30.0,25809.64,860.3213333333333,15.0,电子产品,32,男,普通,沧州市,0.7142857142857143,0.5555555555555556,0.6,0.23809523809523808,88.0,5,5,5,5,低频用户,30-40
CUST_100073,296,77,137,1,12,0.0,50,90,126,30,30.0,25809.64,860.3213333333333,15.0,电子产品,44,女,普通,元朗区,0.7142857142857143,0.5555555555555556,0.6,0.23809523809523808,88.0,5,5,5,5,低频用户,40-50
CUST_100110,103,69,93,1,12,0.0,19,32,32,20,19.0,12368.789999999999,650.988947368421,20.0,家用电器,40,男,普通,昌平区,1.0,0.59375,1.0526315789473684,0.625,8.0,1,4,4,7,普通用户,30-40
CUST_100143,130,75,120,1,12,0.0,31,45,35,19,19.0,15197.08,799.8463157894737,17.0,乐器,29,女,会员,许昌市,1.2857142857142858,0.6888888888888889,0.6129032258064516,0.5428571428571428,40.0,4,4,5,5,低频用户,20-30
CUST_100161,107,70,98,1,12,0.0,25,30,39,13,13.0,9985.55,768.1192307692307,11.0,服装,54,女,会员,河东区,0.7692307692307693,0.8333333333333334,0.52,0.3333333333333333,163.0,5,3,3,1,沉睡用户,50-60
CUST_100176,78,56,73,1,12,0.0,18,23,25,12,12.0,9973.39,831.1158333333333,12.0,服装,39,男,普通,汉中市,0.92,0.782608695652174,0.6666666666666666,0.48,44.0,4,2,3,1,沉睡用户,30-40
CUST_100266,129,75,117,1,12,0.0,36,32,40,21,20.0,14829.0,741.45,19.0,汽车配件,30,男,会员,通州区,0.8,1.125,0.5833333333333334,0.525,102.0,5,4,4,3,低频用户,20-30
CUST_100357,88,60,84,1,12,0.0,22,26,31,9,9.0,7170.4,796.7111111111111,9.0,服装,47,女,会员,清远市,0.8387096774193549,0.8461538461538461,0.4090909090909091,0.2903225806451613,62.0,4,1,2,-1,沉睡用户,40-50
CUST_100392,98,61,87,1,12,0.0,19,30,38,11,11.0,6982.63,634.7845454545454,11.0,书籍,41,女,会员,塔城地区,0.7894736842105263,0.6333333333333333,0.5789473684210527,0.2894736842105263,30.0,3,2,2,1,沉睡用户,40-50
CUST_100394,99,59,93,1,12,0.0,18,31,37,13,13.0,12007.29,923.6376923076924,11.0,服装,28,女,普通,益阳市,0.8378378378378378,0.5806451612903226,0.7222222222222222,0.35135135135135137,156.0,5,3,4,2,沉睡用户,20-30
CUST_100397,91,64,88,1,12,0.0,23,25,34,9,9.0,5599.91,622.2122222222222,9.0,汽车配件,33,男,普通,宁波市,0.7352941176470589,0.92,0.391304347826087,0.2647058823529412,263.0,5,1,1,-3,沉睡用户,30-40
